7.7453787E7 118.55	2013-10-03
['7.7453787E7', '118.55', '2013-10-03']
7.9437506E7 119.4	2013-10-04
['7.9437506E7', '119.4', '2013-10-04']
7.7506267E7 118.69	2013-10-07
['7.7506267E7', '118.69', '2013-10-07']
7.4637261E7 117.16	2013-10-08
['7.4637261E7', '117.16', '2013-10-08']
7.713653E7 117.57	2013-10-09
['7.713653E7', '117.57', '2013-10-09']
7.9825468E7 119.34	2013-10-10
['7.9825468E7', '119.34', '2013-10-10']
8.2318172E7 120.72	2013-10-11
['8.2318172E7', '120.72', '2013-10-11']
8.4184976E7 121.4	2013-10-14
['8.4184976E7', '121.4', '2013-10-14']
8.1464256E7 119.82	2013-10-15
['8.1464256E7', '119.82', '2013-10-15']
8.4110656E7 120.94	2013-10-16
['8.4110656E7', '120.94', '2013-10-16']
8.6902375E7 122.62	2013-10-17
['8.6902375E7', '122.62', '2013-10-17']
8.9492921E7 122.84	2013-10-18
['8.9492921E7', '122.84', '2013-10-18']
9.1255102E7 123.25	2013-10-21
['9.1255102E7', '123.25', '2013-10-21']
9.330928E7 123.8	2013-10-22
['9.330928E7', '123.8', '2013-10-22']
8.9458219E7 123.49	2013-10-24
['8.9458219E7', '123.49', '2013-10-24']
9.1512488E7 124.42	2013-10-25
['9.1512488E7', '124.42', '2013-10-25']
9.3873291E7 124.92	2013-10-28
['9.3873291E7', '124.92', '2013-10-28']
9.5860015E7 125.28	2013-10-29
['9.5860015E7', '125.28', '2013-10-29']
9.3747676E7 124.79	2013-10-30
['9.3747676E7', '124.79', '2013-10-30']
9.6079368E7 125.85	2013-10-31
['9.6079368E7', '125.85', '2013-10-31']
9.7755964E7 125.9	2013-11-01
['9.7755964E7', '125.9', '2013-11-01']
9.9497429E7 126.32	2013-11-04
['9.9497429E7', '126.32', '2013-11-04']
9.7733169E7 126.12	2013-11-05
['9.7733169E7', '126.12', '2013-11-05']
9.9644793E7 127.13	2013-11-06
['9.9644793E7', '127.13', '2013-11-06']
9.6455897E7 126.41	2013-11-07
['9.6455897E7', '126.41', '2013-11-07']
9.869017E7 127.99	2013-11-08
['9.869017E7', '127.99', '2013-11-08']
9.6938683E7 127.95	2013-11-11
['9.6938683E7', '127.95', '2013-11-11']
9.9367279E7 128.36	2013-11-12
['9.9367279E7', '128.36', '2013-11-12']
1.01793559E8 128.59	2013-11-13
['1.01793559E8', '128.59', '2013-11-13']
1.04363368E8 129.79	2013-11-14
['1.04363368E8', '129.79', '2013-11-14']
1.06723761E8 129.85	2013-11-15
['1.06723761E8', '129.85', '2013-11-15']
1.08871935E8 130.13	2013-11-18
['1.08871935E8', '130.13', '2013-11-18']
1.06339432E8 130.05	2013-11-19
['1.06339432E8', '130.05', '2013-11-19']
